phase,oxide,rel_error,sign,status,n,total_perturbation_rows,ok_rows,qc_failed_cpx,qc_failed_liq_total_high,cpx_total_min,cpx_total_max,cpx_stoich_ratio_min,cpx_stoich_ratio_max,liq_total_min,liq_total_max
cpx,Al2O3_cpx,0.005,minus,calculation_failed,252,159544,134636,242,0,97.660797,100.52916726533796,0.9655907317953965,1.1104546008140586,95.06959688212976,102.19653097676614
cpx,Al2O3_cpx,0.005,minus,ok,1376,159544,134636,242,0,97.660797,100.52916726533796,0.9655907317953965,1.1104546008140586,95.06959688212976,102.19653097676614
cpx,Al2O3_cpx,0.005,plus,calculation_failed,252,159544,134636,242,0,97.660797,100.52916726533796,0.9655907317953965,1.1104546008140586,95.06959688212976,102.19653097676614
cpx,Al2O3_cpx,0.005,plus,ok,1376,159544,134636,242,0,97.660797,100.52916726533796,0.9655907317953965,1.1104546008140586,95.06959688212976,102.19653097676614
cpx,Al2O3_cpx,0.01,minus,calculation_failed,252,159544,134636,242,0,97.660797,100.52916726533796,0.9655907317953965,1.1104546008140586,95.06959688212976,102.19653097676614
cpx,Al2O3_cpx,0.01,minus,ok,1376,159544,134636,242,0,97.660797,100.52916726533796,0.9655907317953965,1.1104546008140586,95.06959688212976,102.19653097676614
cpx,Al2O3_cpx,0.01,plus,calculation_failed,252,159544,134636,242,0,97.660797,100.52916726533796,0.9655907317953965,1.1104546008140586,95.06959688212976,102.19653097676614
cpx,Al2O3_cpx,0.01,plus,ok,1376,159544,134636,242,0,97.660797,100.52916726533796,0.9655907317953965,1.1104546008140586,95.06959688212976,102.19653097676614
cpx,CaO_cpx,0.005,minus,calculation_failed,252,159544,134636,242,0,97.660797,100.52916726533796,0.9655907317953965,1.1104546008140586,95.06959688212976,102.19653097676614
cpx,CaO_cpx,0.005,minus,ok,1376,159544,134636,242,0,97.660797,100.52916726533796,0.9655907317953965,1.1104546008140586,95.06959688212976,102.19653097676614
cpx,CaO_cpx,0.005,plus,calculation_failed,252,159544,134636,242,0,97.660797,100.52916726533796,0.9655907317953965,1.1104546008140586,95.06959688212976,102.19653097676614
