model,target_type,phase,oxide,rel_error,n,median_abs_effect,mean_abs_effect,p90_abs_effect,p95_abs_effect,max_abs_effect,median_signed_effect,mean_signed_effect,qc_failed_n,clipped_to_zero_n,zero_value_no_effect_n
AgL24,P,cpx,Al2O3_cpx,0.005,296.0,0.015172876719096551,0.0198775422871179,0.0450669168955215,0.048632507485327506,0.1073823561197402,-0.00029087389879785,-0.0003536734549262561,0.0,0.0,0.0
AgL24,P,cpx,Al2O3_cpx,0.01,296.0,0.0292735818880802,0.034506953445224114,0.0731178470159279,0.08729161142097312,0.1465764553940838,0.00182184654701425,0.000605559649001602,0.0,0.0,0.0
AgL24,P,cpx,CaO_cpx,0.005,295.0,0.0303452082200141,0.044286300304880497,0.09781693933382747,0.12141180127265505,0.3013279121725567,0.0121207453498954,0.002800634236250142,1.0,0.0,0.0
AgL24,P,cpx,CaO_cpx,0.01,292.0,0.05246525498311965,0.0767723819228323,0.17576002176071834,0.21810548211294417,0.3866458337835068,0.008423620874269351,0.00809253993550725,4.0,0.0,0.0
AgL24,P,cpx,Cr2O3_cpx,0.005,296.0,0.0,0.001190692035802743,0.0052150118875333,0.008287725243013125,0.0171514734927358,0.0,-6.098523211892397e-05,0.0,0.0,278.0
AgL24,P,cpx,Cr2O3_cpx,0.01,296.0,0.0,0.0012219610351820818,0.0052150118875333,0.0085751915281884,0.0171514734927358,0.0,-9.225423149826282e-05,0.0,0.0,278.0
AgL24,P,cpx,FeO_cpx,0.005,295.0,0.0,0.02110879641381928,0.07647535508750367,0.11312890121053065,0.2466915983984119,0.0,0.0016106447339274054,1.0,0.0,0.0
AgL24,P,cpx,FeO_cpx,0.01,295.0,0.0,0.02110879641381928,0.07647535508750367,0.11312890121053065,0.2466915983984119,0.0,0.0016106447339274054,1.0,0.0,0.0
AgL24,P,cpx,K2O_cpx,0.005,296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0
AgL24,P,cpx,K2O_cpx,0.01,296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0
AgL24,P,cpx,MgO_cpx,0.005,295.0,0.0082611458567596,0.024440979563003118,0.07620754391770138,0.1044181684429028,0.2381164068702235,0.0,0.0007649133829704597,1.0,0.0,0.0
AgL24,P,cpx,MgO_cpx,0.01,294.0,0.01202315129575335,0.02678663314168159,0.07586111228640602,0.108922951868826,0.2249744678700036,0.0,0.0003387093761198867,2.0,0.0,0.0
AgL24,P,cpx,MnO_cpx,0.005,296.0,0.0024900114260703503,0.004286135095119827,0.0129380274010619,0.01520804329167875,0.0230910803409107,0.0,-5.067029358663683e-05,0.0,0.0,0.0
AgL24,P,cpx,MnO_cpx,0.01,296.0,0.00421508174621225,0.006039034566835629,0.01489808675659615,0.019315171838336552,0.0355613105439065,0.0,-2.2772989740063098e-05,0.0,0.0,0.0
AgL24,P,cpx,Na2O_cpx,0.005,296.0,0.0066920079359733,0.010362404748103769,0.0253433766406905,0.03224433944398127,0.0633805229379982,0.0,-0.0004922868882905892,0.0,0.0,0.0
AgL24,P,cpx,Na2O_cpx,0.01,296.0,0.01323462609074515,0.018149263284311386,0.04005908791622255,0.050114410497382994,0.1159711781024182,-0.00060710044294505,-5.25896089349903e-05,0.0,0.0,0.0
AgL24,P,cpx,NiO_cpx,0.005,296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,268.0
AgL24,P,cpx,NiO_cpx,0.01,296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,268.0
AgL24,P,cpx,SiO2_cpx,0.005,292.0,0.013660441488985101,0.029461949167562954,0.08313890263450352,0.10109244659119662,0.2924043262276266,0.0003494848531011,0.00021305894114910355,4.0,0.0,0.0
AgL24,P,cpx,SiO2_cpx,0.01,288.0,0.0226791680062492,0.03333765239694296,0.07768819292794371,0.0973667799438702,0.2718403321489973,0.003493212876469,0.002172617774257425,8.0,0.0,0.0
AgL24,P,cpx,TiO2_cpx,0.005,296.0,0.0049661197885617,0.00755167149083454,0.017600188054517102,0.021494817815690574,0.0604603343682521,0.0,0.0004606356835994726,0.0,0.0,0.0
AgL24,P,cpx,TiO2_cpx,0.01,296.0,0.00862535160070795,0.011999664549105952,0.0288049668627441,0.036042056673736875,0.0604603343682521,0.0,0.0004545682893984997,0.0,0.0,0.0
AgL24,P,liq,Al2O3_liq,0.01,296.0,0.0119858038504534,0.014368686351075823,0.0300965887301325,0.037803452155092475,0.077200168135417,0.0012452783221250001,0.000324512571109334,0.0,0.0,0.0
AgL24,P,liq,Al2O3_liq,0.02,296.0,0.02169613962849485,0.024536565173110328,0.04912961016054515,0.056830953251436576,0.0897066553473533,0.00210290651857955,0.0003653597276972461,0.0,0.0,0.0
AgL24,P,liq,Al2O3_liq,0.03,296.0,0.02825266084684605,0.03254685172476408,0.0687650976793756,0.07667566824667492,0.1124676060805374,0.0022124953726723002,0.0009247148989107715,0.0,0.0,0.0
AgL24,P,liq,CaO_liq,0.01,296.0,0.0083483807654891,0.011459527397745445,0.02706871956992215,0.03383119695560373,0.054661393810405,0.0,0.0009473764504756262,0.0,0.0,0.0
