model,target_type,phase,rel_error,n,median_abs_effect,mean_abs_effect,p90_abs_effect,p95_abs_effect,max_abs_effect,median_signed_effect,mean_signed_effect,qc_failed_n,clipped_to_zero_n,zero_value_no_effect_n
AgL24,P,cpx,0.005,3249.0,0.0036376956940529,0.014746688696367022,0.04323362076673596,0.06937083507687211,0.3013279121725567,0.0,0.00044385466917162543,7.0,0.0,656.0
AgL24,P,cpx,0.01,3241.0,0.0061217097201486,0.02079868560758803,0.0589795217925548,0.0933151818688005,0.3866458337835068,0.0,0.00118100574553447,15.0,0.0,656.0
AgL24,P,liq,0.01,2664.0,0.00676152325386755,0.011141681878969927,0.02888516845695847,0.03785684264532602,0.095504232859751,0.0,0.0008476225014169095,0.0,0.0,0.0
AgL24,P,liq,0.02,2664.0,0.011789525305810199,0.019268212569014974,0.04893267735408603,0.06313700123809596,0.1637284741049995,0.0,0.0008367876203976769,0.0,0.0,0.0
AgL24,P,liq,0.03,2664.0,0.01543921579981375,0.026917583105330236,0.07034513996375359,0.09153976064977601,0.2144184986954584,0.0,0.0008166425863763766,0.0,0.0,0.0
AgL24,T,cpx,0.005,3249.0,0.0,0.11923077819016428,0.3109863281250006,0.7389648437499997,2.983154296875,0.0,0.006803306516187673,7.0,0.0,656.0
AgL24,T,cpx,0.01,3241.0,0.007568359375,0.15668769796407359,0.468505859375,0.87091064453125,3.2991943359375,0.0,0.009957562769978402,15.0,0.0,656.0
AgL24,T,liq,0.01,2664.0,0.15814208984375,0.2615198587870097,0.6717041015625003,0.903106689453125,2.0697021484375,0.0,0.004709719179628848,0.0,0.0,0.0
AgL24,T,liq,0.02,2664.0,0.2969970703125,0.4978153583881733,1.254907226562501,1.7711425781249999,3.8648681640625,0.0,0.009644906442086617,0.0,0.0,0.0
AgL24,T,liq,0.03,2664.0,0.421875,0.7274154800552506,1.8197143554687512,2.649871826171874,5.527587890625,0.0,0.014280256208356793,0.0,0.0,0.0
Chi23,P,cpx,0.005,3249.0,0.0,0.013296398891966746,0.0999999999999996,0.1,0.3000000000000007,0.0,0.0015389350569406002,7.0,0.0,656.0
Chi23,P,cpx,0.01,3241.0,0.0,0.025948781240357894,0.1,0.1,0.6000000000000005,0.0,0.0026226473310706614,15.0,0.0,656.0
Chi23,P,liq,0.01,2664.0,0.0,0.016441442050017387,0.0999999046325683,0.1000001430511474,0.5,0.0,0.0018768772348627311,0.0,0.0,0.0
Chi23,P,liq,0.02,2664.0,0.0,0.03352102127161111,0.1000001430511474,0.1000003814697265,1.0,0.0,0.0019894868761927494,0.0,0.0,0.0
Chi23,P,liq,0.03,2664.0,0.0,0.04981231188272928,0.1000003814697265,0.2000000476837158,1.5,0.0,0.002965462816370142,0.0,0.0,0.0
Chi23,T,cpx,0.005,3249.0,0.0,0.4053554939981533,1.0,3.0,7.0,0.0,0.010156971375807941,7.0,0.0,656.0
Chi23,T,cpx,0.01,3241.0,0.0,0.8102437519284171,3.0,6.0,13.0,0.0,0.029620487503856836,15.0,0.0,656.0
Chi23,T,liq,0.01,2664.0,0.0,0.20007507507507508,1.0,1.0,2.0,0.0,-0.008633633633633633,0.0,0.0,0.0
Chi23,T,liq,0.02,2664.0,0.0,0.4166666666666667,1.0,1.0,4.0,0.0,-0.0075075075075075074,0.0,0.0,0.0
Chi23,T,liq,0.03,2664.0,0.0,0.6193693693693694,2.0,2.0,6.0,0.0,-0.012012012012012012,0.0,0.0,0.0
Jor22,P,cpx,0.005,3249.0,0.0,0.015521186005950538,0.0450000000000003,0.1066666666666664,0.7374999999999998,0.0,0.00022960911049553723,7.0,0.0,656.0
Jor22,P,cpx,0.01,3241.0,0.0,0.02767039493983338,0.0900000000000003,0.1899999999999999,0.7958333333333338,0.0,0.0014674740306489806,15.0,0.0,656.0
Jor22,P,liq,0.01,2664.0,0.0,0.02144328703703702,0.0749999999999997,0.14081249999999954,0.5613333333333341,0.0,0.000413194444444447,0.0,0.0,0.0
Jor22,P,liq,0.02,2664.0,0.0,0.037397272272272256,0.13333333333333316,0.2133333333333338,0.7958333333333338,0.0,0.0024737862862862837,0.0,0.0,0.0
Jor22,P,liq,0.03,2664.0,0.0,0.05253666166166165,0.1779999999999999,0.26641666666666647,1.2393333333333332,0.0,0.004774274274274277,0.0,0.0,0.0
Jor22,T,cpx,0.005,3249.0,0.0,0.10859751718477499,0.0,0.8333333333333712,5.416666666666743,0.0,0.01123422591566615,7.0,0.0,656.0
Jor22,T,cpx,0.01,3241.0,0.0,0.18931914018307108,0.3333333333332575,1.333333333333485,7.5,0.0,0.018564229147382413,15.0,0.0,656.0
Jor22,T,liq,0.01,2664.0,0.0,0.7906187437437437,2.5,4.166666666666743,16.25,0.0,-0.0037068318318322587,0.0,0.0,0.0
Jor22,T,liq,0.02,2664.0,0.0,1.355073823823824,4.166666666666629,6.25,25.25,0.0,0.039633383383382584,0.0,0.0,0.0
Jor22,T,liq,0.03,2664.0,0.0,1.9214683433433437,5.0,8.333333333333371,38.0,0.0,0.05816754254254239,0.0,0.0,0.0
NP17,P,cpx,0.005,3249.0,0.0003779673867541,0.01705982185400451,0.0305944174690715,0.03181889736352798,10.327806202425846,0.0,0.0031223676925892343,7.0,0.0,656.0
NP17,P,cpx,0.01,3241.0,0.0007504471376105,0.052049041201302215,0.0611839069973285,0.0635201277502375,10.773144855742483,0.0,0.01875964954794992,15.0,0.0,656.0
NP17,P,liq,0.01,2664.0,0.013854560911956651,0.037752752653863436,0.1293534988871951,0.14377738096724962,0.186658781596348,0.0,0.00012038819438207746,0.0,0.0,0.0
NP17,P,liq,0.02,2664.0,0.027671603469905298,0.07551037642435436,0.2584229983287889,0.28684468401076657,0.3764569889492,0.0,0.0004816226847635612,0.0,0.0,0.0
NP17,P,liq,0.03,2664.0,0.04168914531408565,0.11327901467645264,0.38596965906729563,0.4308271403940683,0.5694709696434996,0.0,0.001083913294911163,0.0,0.0,0.0
Pet20,P,cpx,0.005,3249.0,0.0,0.009452377376555408,0.03085885714285756,0.048685714285714,0.3729285714285719,0.0,0.0004881616204986333,7.0,0.0,656.0
Pet20,P,cpx,0.01,3241.0,0.0,0.017042948743553547,0.0527514285714287,0.0792514285714292,0.4041771428571428,0.0,0.001910762098779054,15.0,0.0,656.0
Pet20,P,liq,0.01,2664.0,0.0027471428571428,0.0120631305879987,0.03833600000000031,0.05428571428571406,0.2111200000000002,0.0,0.00044696373525314156,0.0,0.0,0.0
Pet20,P,liq,0.02,2664.0,0.0065742857142856,0.020861327742117096,0.059922571428572144,0.0861489999999995,0.4572800000000008,0.0,0.001057940812151475,0.0,0.0,0.0
Pet20,P,liq,0.03,2664.0,0.0114628571428574,0.028815901916559396,0.08299628571428634,0.11257099999999985,0.6931371050000017,0.0,0.001919205305126583,0.0,0.0,0.0
Pet20,T,cpx,0.005,3249.0,0.0,0.08345141162315513,0.287999999999739,0.41309090909080587,1.7454545454545496,0.0,-0.000917485100308562,7.0,0.0,656.0
Pet20,T,cpx,0.01,3241.0,0.0109090909090809,0.1413166531093111,0.4272727272727934,0.5872727272726479,2.6363636363635123,0.0,0.0025906706684236344,15.0,0.0,656.0
Pet20,T,liq,0.01,2664.0,0.1363636363639671,0.307171990171988,0.8612727272723992,1.2325000000000146,2.7836363636365604,0.0,-0.010351487851489831,0.0,0.0,0.0
Pet20,T,liq,0.02,2664.0,0.2699999999999818,0.56435913185913,1.6218181818182302,2.1996363636366354,4.570909090909026,0.0,-0.03485585585585675,0.0,0.0,0.0
Pet20,T,liq,0.03,2664.0,0.3745454545453412,0.8116613431613461,2.343818181818189,3.2492272727272717,6.154909090909314,0.0,-0.058619301119301616,0.0,0.0,0.0
Pu08_31,P,cpx,0.005,482.0,0.0004317216923688,0.02536935629092063,0.045621509217625936,0.08447896316596615,1.5883184247296498,0.0,0.0026982493936089443,7.0,0.0,656.0
Pu08_31,P,cpx,0.01,479.0,0.0008598411412936,0.04056030933866528,0.08757729071167437,0.14641265894658753,1.5255313255921692,0.0,0.00024781317417997767,15.0,0.0,656.0
Pu08_31,P,liq,0.01,396.0,0.00829196425179285,0.01928068321165169,0.058290341681459454,0.06417226235761883,0.0688242185657941,0.0,6.545373902795707e-06,0.0,0.0,0.0
