rank,model,target_type,phase,oxide,median_abs_effect,p95_abs_effect,max_abs_effect,valid_n,qc_failed_n
1,AgL24,P,liq,SiO2_liq,0.059760546834780354,0.15072856444055646,0.2144184986954584,296.0,0.0
2,AgL24,P,cpx,CaO_cpx,0.05246525498311965,0.21810548211294417,0.3866458337835068,292.0,4.0
3,AgL24,P,liq,Na2O_liq,0.0487637687620576,0.09423319297864173,0.1317268930554691,296.0,0.0
4,AgL24,P,cpx,Al2O3_cpx,0.0292735818880802,0.08729161142097312,0.1465764553940838,296.0,0.0
5,AgL24,P,liq,Al2O3_liq,0.02825266084684605,0.07667566824667492,0.1124676060805374,296.0,0.0
6,AgL24,P,liq,K2O_liq,0.02343293213949675,0.06769824200651328,0.0929891413974211,296.0,0.0
7,AgL24,P,cpx,SiO2_cpx,0.0226791680062492,0.0973667799438702,0.2718403321489973,288.0,8.0
8,AgL24,P,liq,CaO_liq,0.01866036480467985,0.08175846472566425,0.1233218095993047,296.0,0.0
9,AgL24,P,cpx,Na2O_cpx,0.01323462609074515,0.050114410497382994,0.1159711781024182,296.0,0.0
10,AgL24,P,cpx,MgO_cpx,0.01202315129575335,0.108922951868826,0.2249744678700036,294.0,2.0
11,AgL24,P,liq,MnO_liq,0.00935130960679805,0.0318922648045274,0.0482201862370317,296.0,0.0
12,AgL24,P,liq,MgO_liq,0.00902145260816175,0.03329872325098697,0.0741796594206292,296.0,0.0
13,AgL24,P,liq,TiO2_liq,0.00871040563671995,0.03201725607219335,0.0466319656799605,296.0,0.0
14,AgL24,P,cpx,TiO2_cpx,0.00862535160070795,0.036042056673736875,0.0604603343682521,296.0,0.0
15,AgL24,P,cpx,MnO_cpx,0.00421508174621225,0.019315171838336552,0.0355613105439065,296.0,0.0
16,AgL24,P,cpx,Cr2O3_cpx,0.0,0.0085751915281884,0.0171514734927358,296.0,0.0
17,AgL24,P,cpx,FeO_cpx,0.0,0.11312890121053065,0.2466915983984119,295.0,1.0
18,AgL24,P,cpx,K2O_cpx,0.0,0.0,0.0,296.0,0.0
19,AgL24,P,cpx,NiO_cpx,0.0,0.0,0.0,296.0,0.0
20,AgL24,P,liq,FeO_liq,0.0,0.0085751915281884,0.0210154347313085,296.0,0.0
1,AgL24,T,liq,SiO2_liq,2.15582275390625,3.9525146484375,4.5751953125,296.0,0.0
2,AgL24,T,liq,K2O_liq,1.11724853515625,1.94403076171875,2.70703125,296.0,0.0
3,AgL24,T,liq,MgO_liq,0.98370361328125,2.896209716796875,5.527587890625,296.0,0.0
4,AgL24,T,liq,CaO_liq,0.6240234375,1.89996337890625,2.7095947265625,296.0,0.0
5,AgL24,T,liq,Al2O3_liq,0.5787353515625,1.4268798828125,2.15673828125,296.0,0.0
6,AgL24,T,cpx,CaO_cpx,0.33447265625,1.7113159179687494,3.2991943359375,292.0,4.0
7,AgL24,T,liq,TiO2_liq,0.285400390625,0.704071044921875,1.1072998046875,296.0,0.0
8,AgL24,T,liq,Na2O_liq,0.23724365234375,0.6136474609375,0.925537109375,296.0,0.0
9,AgL24,T,liq,MnO_liq,0.125,0.547027587890625,0.917724609375,296.0,0.0
10,AgL24,T,cpx,Al2O3_cpx,0.11920166015625,0.5635528564453125,1.2269287109375,296.0,0.0
11,AgL24,T,cpx,MgO_cpx,0.11669921875,1.3748718261718713,2.56787109375,294.0,2.0
12,AgL24,T,cpx,Na2O_cpx,0.05340576171875,0.33697509765625,0.896240234375,296.0,0.0
13,AgL24,T,cpx,SiO2_cpx,0.0506591796875,1.1424865722656246,2.7542724609375,288.0,8.0
14,AgL24,T,cpx,MnO_cpx,0.037139892578125,0.296539306640625,0.61474609375,296.0,0.0
15,AgL24,T,cpx,FeO_cpx,0.0,1.391687011718751,2.804443359375,295.0,1.0
16,AgL24,T,cpx,Cr2O3_cpx,0.0,0.0,0.14501953125,296.0,0.0
17,AgL24,T,cpx,TiO2_cpx,0.0,0.1419677734375,0.27490234375,296.0,0.0
18,AgL24,T,cpx,NiO_cpx,0.0,0.0,0.0,296.0,0.0
19,AgL24,T,cpx,K2O_cpx,0.0,0.0,0.0,296.0,0.0
20,AgL24,T,liq,FeO_liq,0.0,0.0,0.0,296.0,0.0
1,Chi23,P,liq,Al2O3_liq,0.2000000476837158,0.3000001907348633,1.5,296.0,0.0
2,Chi23,P,cpx,SiO2_cpx,0.1,0.3999999999999999,0.6000000000000005,288.0,8.0
3,Chi23,P,liq,CaO_liq,0.0999999046325683,0.1000001430511474,0.5,296.0,0.0
4,Chi23,P,liq,Na2O_liq,0.0999999046325683,0.1000001430511474,0.3000001907348633,296.0,0.0
5,Chi23,P,liq,SiO2_liq,0.0999999046325683,0.2000000476837158,0.9000000953674316,296.0,0.0
6,Chi23,P,cpx,Cr2O3_cpx,0.0,0.0,0.0,296.0,0.0
7,Chi23,P,cpx,CaO_cpx,0.0,0.1999999999999997,0.3000000000000007,292.0,4.0
8,Chi23,P,cpx,Al2O3_cpx,0.0,0.1,0.1000000000000005,296.0,0.0
9,Chi23,P,cpx,FeO_cpx,0.0,0.0,0.0,295.0,1.0
10,Chi23,P,cpx,Na2O_cpx,0.0,0.1,0.1000000000000005,296.0,0.0
11,Chi23,P,cpx,K2O_cpx,0.0,0.0,0.0,296.0,0.0
12,Chi23,P,cpx,MgO_cpx,0.0,0.2000000000000001,0.3000000000000007,294.0,2.0
13,Chi23,P,cpx,TiO2_cpx,0.0,0.1,0.1000000000000005,296.0,0.0
14,Chi23,P,cpx,NiO_cpx,0.0,0.0,0.0,296.0,0.0
15,Chi23,P,cpx,MnO_cpx,0.0,0.0,0.1,296.0,0.0
16,Chi23,P,liq,FeO_liq,0.0,0.0,0.0,296.0,0.0
17,Chi23,P,liq,MgO_liq,0.0,0.1000001430511474,0.2000002861022949,296.0,0.0
18,Chi23,P,liq,K2O_liq,0.0,0.1000001430511474,0.1000003814697265,296.0,0.0
19,Chi23,P,liq,MnO_liq,0.0,0.0,0.0,296.0,0.0
20,Chi23,P,liq,TiO2_liq,0.0,0.0,0.0999999046325683,296.0,0.0
1,Chi23,T,cpx,SiO2_cpx,4.0,10.0,13.0,288.0,8.0
2,Chi23,T,cpx,MgO_cpx,3.0,9.0,11.0,294.0,2.0
3,Chi23,T,liq,SiO2_liq,2.0,3.0,6.0,296.0,0.0
4,Chi23,T,cpx,CaO_cpx,1.0,2.0,3.0,292.0,4.0
5,Chi23,T,liq,CaO_liq,1.0,2.0,3.0,296.0,0.0
6,Chi23,T,liq,K2O_liq,1.0,2.0,2.0,296.0,0.0
7,Chi23,T,liq,Al2O3_liq,1.0,2.0,3.0,296.0,0.0
8,Chi23,T,cpx,Al2O3_cpx,0.0,1.0,1.0,296.0,0.0
9,Chi23,T,cpx,FeO_cpx,0.0,0.0,0.0,295.0,1.0
10,Chi23,T,cpx,Cr2O3_cpx,0.0,0.0,0.0,296.0,0.0
11,Chi23,T,cpx,Na2O_cpx,0.0,1.0,1.0,296.0,0.0
12,Chi23,T,cpx,K2O_cpx,0.0,0.0,0.0,296.0,0.0
13,Chi23,T,cpx,TiO2_cpx,0.0,1.0,1.0,296.0,0.0
14,Chi23,T,cpx,NiO_cpx,0.0,0.0,0.0,296.0,0.0
15,Chi23,T,cpx,MnO_cpx,0.0,0.0,1.0,296.0,0.0
16,Chi23,T,liq,FeO_liq,0.0,0.0,0.0,296.0,0.0
17,Chi23,T,liq,MgO_liq,0.0,1.0,1.0,296.0,0.0
18,Chi23,T,liq,MnO_liq,0.0,0.0,0.0,296.0,0.0
