Pair_ID,Source_table,Thermometer_calibration,Barometer_calibration,Reference,Run,LEPR_ID,T_C_exp,P_kbar_exp,H2O_Liq_wt_pct,CaTs_Cpx_source_marker,SiO2_Cpx_wt_pct,TiO2_Cpx_wt_pct,Al2O3_Cpx_wt_pct,FeO_Cpx_wt_pct,MnO_Cpx_wt_pct,MgO_Cpx_wt_pct,CaO_Cpx_wt_pct,Na2O_Cpx_wt_pct,K2O_Cpx_wt_pct,P2O5_Cpx_wt_pct,Total_Cpx_wt_pct,SiO2_Liq_wt_pct,TiO2_Liq_wt_pct,Al2O3_Liq_wt_pct,FeO_Liq_wt_pct,MnO_Liq_wt_pct,MgO_Liq_wt_pct,CaO_Liq_wt_pct,Na2O_Liq_wt_pct,K2O_Liq_wt_pct,P2O5_Liq_wt_pct,Total_Liq_wt_pct
Masotta2013_1EA_001,Table 1EA,1,1,"Masotta et al., 2013",TGVT-1,,850,2,5.15,X,41.7,1.64,9.73,14.28,0.52,6.19,22.08,0.45,0.23,0.11,96.93,59.63,0.42,21.23,2.33,0.14,0.2,2.57,4.35,9.11,0.03,100
Masotta2013_1EA_002,Table 1EA,1,1,"Masotta et al., 2013",TGVT-2,,850,2,5.05,X,41.96,2.29,8.72,16.63,0.73,4.84,21.68,0.82,0.3,0.03,98,58.88,0.26,22.47,2.11,0.17,0.14,2.27,4.19,9.5,0.01,100
Masotta2013_1EA_003,Table 1EA,1,1,"Masotta et al., 2013",TGVT-3,,900,2,3.52,X,43.74,2.16,8.36,12.44,0.45,7.5,22.57,0.49,0.22,0.01,97.94,58.82,0.4,20.61,2.46,0.13,0.18,2.88,4.71,9.77,0.04,100
Masotta2013_1EA_004,Table 1EA,1,1,"Masotta et al., 2013",TGVT-4,,900,2,2.66,X,43.86,1.54,9.27,13.15,0.51,7.16,22.6,0.59,0.33,0,99,58.65,0.54,20.16,2.89,0.16,0.21,3.11,5.04,9.18,0.06,100
Masotta2013_1EA_005,Table 1EA,1,1,"Masotta et al., 2013",TGVT-5,,900,2,5.33,X,44.18,1.54,7.74,12,0.41,8.79,22.47,0.47,0.17,0.02,97.8,59.3,0.51,20.94,2.63,0.16,0.35,3.73,3.86,8.45,0.08,100
Masotta2013_1EA_006,Table 1EA,1,1,"Masotta et al., 2013",TGVT-6,,900,2,3.55,X,42.08,1.62,10.43,13.46,0.43,6.96,23.64,0.49,0.14,0,99.27,58.36,0.46,20.89,2.45,0.1,0.36,3.91,4.43,8.99,0.05,100
Masotta2013_1EA_007,Table 1EA,1,1,"Masotta et al., 2013",TGVT-7,,900,2,4.05,X,44.31,1.56,8.97,11.19,0.4,7.68,21.91,0.57,0.47,0.12,97.17,59.14,0.52,20.33,2.46,0.13,0.39,4.17,4.18,8.61,0.07,100
Masotta2013_1EA_008,Table 1EA,1,1,"Masotta et al., 2013",TGVT-8,,900,2,4.2,X,44.82,1.73,8.55,12.54,0.46,8.33,23.04,0.56,0.23,0,100.27,57.78,0.52,20.54,2.72,0.15,0.3,3.3,4.97,9.65,0.07,100
Masotta2013_1EA_009,Table 1EA,1,1,"Masotta et al., 2013",TGVT-9,,900,2,3.55,X,43.57,1.78,8.11,12.55,0.51,7.83,22.53,0.54,0.18,0.03,97.65,58.81,0.53,20.45,2.42,0.12,0.32,3.37,4.41,9.51,0.05,100
Masotta2013_1EA_010,Table 1EA,1,1,"Masotta et al., 2013",TGVT-10,,925,2,2.8,X,46.25,1.39,7.16,9.72,0.4,9.87,22.89,0.5,0.32,0.03,98.54,58.66,0.53,20.17,2.8,0.15,0.54,4.38,4.16,8.53,0.07,100
